1,Estación,Código,Región,Departamento,Municipio,Latitud,Longitud,Altitud,Instrumentación Activa,Instrumentación No Activa,Ranking,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
14,Esquipulas,INS200701CV,Valles de Oriente,Chiquimula,Esquipulas,14.559694,-89.341459,950.0,"ABRIGO, TERMÓMETRO MÍNIMA, TERMÓMETRO HÚMEDO, TERMÓMETRO SECO, TERMÓMETRO MÁXIMA, ASPIROPSICRÓMETRO, PLUVIÓMETRO, PLUVIÓGRAFO, TERMOHIGRÓGRAFO, VELETA, ANEMÓMETRO, BARÓMETRO, TANQUE EVAPORACIÓN, HELIÓGRAFO.",ACTINÓGRAFO.,13.0,,,,,,,,,,,,,,
15,Flores Aeropuerto,INS170101CV,Norte,Petén,Flores,16.916093,-89.86686,123.0,"ABRIGO, TERMÓMETRO MÍNIMA, TERMÓMETRO HÚMEDO, TERMÓMETRO SECO, TERMÓMETRO MÁXIMA, ASPIROPSICRÓMETRO, ASPIROPSICRÓMETRO CON VENTILACIÓN, PLUVIÓMETRO, PLUVIÓGRAFO, TANQUE EVAPORACIÓN, MICROBARÓGRAFO.","TERMOHIGRÓGRAFO, VELETA, BARÓMETRO.",11.0,,,,,,,,,,,,,,
16,Huehuetenango,INS130101CV,Occidente,Huehuetenango,Huehuetenango,15.31828,-91.502403,1870.0,"ABRIGO, TERMÓMETRO MÍNIMA, TERMÓMETRO HÚMEDO, TERMÓMETRO SECO, TERMÓMETRO MÁXIMA, ASPIROPSICRÓMETRO, ASPIROPSICRÓMETRO CON VENTILACIÓN, PLUVIÓMETRO, PLUVIÓGRAFO, TERMOHIGRÓGRAFO, VELETA, ANEMÓMETRO, BARÓMETRO, TANQUE EVAPORACIÓN, HELIÓGRAFO, MICROBARÓGRAFO, ACTINÓGRAFO.",,16.0,,,,,,,,,,,,,,
17,INSIVUMEH,INS010101CV,Altiplano Central,Guatemala,Guatemala,14.587267,-90.532679,1502.0,"ABRIGO, TERMÓMETRO MÍNIMA, TERMÓMETRO HÚMEDO, TERMÓMETRO SECO, TERMÓMETRO MÁXIMA, ASPIROPSICRÓMETRO, ASPIROPSICRÓMETRO CON VENTILACIÓN, PLUVIÓMETRO, PLUVIÓGRAFO, TERMOHIGRÓGRAFO, VELETA, ANEMÓMETRO, HIGRÓMETRO, TANQUE EVAPORACIÓN, HELIÓGRAFO, EVAPORÍMETRO PICHÉ, TERMÓMETRO, ACTINÓGRAFO.",,15.0,,,,,,,,,,,,,,
18,La Aurora,INS010102CV,Altiplano Central,Guatemala,Guatemala,14.58619,-90.52773,1491.0,"ABRIGO, TERMÓMETRO MÍNIMA, TERMÓMETRO HÚMEDO, TERMÓMETRO SECO, TERMÓMETRO MÁXIMA, ASPIROPSICRÓMETRO, ASPIROPSICRÓMETRO CON VENTILACIÓN, PLUVIÓMETRO, VELETA, ANEMÓMETRO, BARÓMETRO, MICROBARÓGRAFO.",PLUVIÓGRAFO.,12.0,,,,,,,,,,,,,,
19,La Ceibita,INS210601CV,Valles de Oriente,Jalapa,Monjas,14.494509,-89.878944,960.0,,,0.0,,,,,,,,,,,,,,
20,La Fragua,INS190201CV,Valles de Oriente,Zacapa,Estanzuela,14.96553,-89.58437,227.0,"ABRIGO, TERMÓMETRO MÍNIMA, TERMÓMETRO HÚMEDO, TERMÓMETRO SECO, TERMÓMETRO MÁXIMA, ASPIROPSICRÓMETRO, PLUVIÓMETRO, PLUVIÓGRAFO, TERMOHIGRÓGRAFO, TANQUE EVAPORACIÓN, HELIÓGRAFO, TERMÓMETRO, ACTINÓGRAFO.","ASPIROPSICRÓMETRO CON VENTILACIÓN, ANEMÓMETRO.",11.0,,,,,,,,,,,,,,
21,La Unión,INS190901CV,Valles de Oriente,Zacapa,La Unión,14.9633333,-89.2911111,1000.0,"ABRIGO, TERMÓMETRO MÍNIMA, TERMÓMETRO HÚMEDO, TERMÓMETRO SECO, TERMÓMETRO MÁXIMA, ASPIROPSICRÓMETRO, ASPIROPSICRÓMETRO CON VENTILACIÓN, PLUVIÓMETRO.","PLUVIÓGRAFO, TERMOHIGRÓGRAFO, EVAPORÍMETRO PICHÉ.",8.0,,,,,,,,,,,,,,
22,Labor Ovalle,INS090301CV,Occidente,Quetzaltenango,Olintepeque,14.871334,-91.514438,2380.0,"ABRIGO, TERMÓMETRO MÍNIMA, TERMÓMETRO HÚMEDO, TERMÓMETRO SECO, TERMÓMETRO MÁXIMA, ASPIROPSICRÓMETRO, ASPIROPSICRÓMETRO CON VENTILACIÓN, PLUVIÓMETRO, TERMOHIGRÓGRAFO, VELETA, TANQUE EVAPORACIÓN, HELIÓGRAFO, ACTINÓGRAFO.","PLUVIÓGRAFO, MICROBARÓGRAFO.",12.0,,,,,,,,,,,,,,
23,Las Vegas PHC,INS180201CV,Caribe,Izabal,Livingston,15.585416,-88.944686,10.0,"ABRIGO, TERMÓMETRO HÚMEDO, TERMÓMETRO SECO, ASPIROPSICRÓMETRO, ASPIROPSICRÓMETRO CON VENTILACIÓN, PLUVIÓMETRO.","TERMÓMETRO MINIMA, TERMÓMETRO MAXIMA, PLUVIÓGRAFO.",6.0,,,,,,,,,,,,,,
24,Los Albores,INS020301CV,Altiplano Central,El Progreso,San Agustín Acasaguastlán,15.0525,-89.949167,1391.0,"ABRIGO, TERMÓMETRO MÍNIMA, TERMÓMETRO HÚMEDO, TERMÓMETRO SECO, TERMÓMETRO MÁXIMA, ASPIROPSICRÓMETRO, ASPIROPSICRÓMETRO CON VENTILACIÓN, PLUVIÓMETRO, VELETA.",,9.0,,,,,,,,,,,,,,
25,Los Altos,INS090101CV,Occidente,Quetzaltenango,Quetzaltenango,14.8599015,-91.50807279,2389.0,"ABRIGO, TERMÓMETRO MÍNIMA, TERMÓMETRO HÚMEDO, TERMÓMETRO SECO, TERMÓMETRO MÁXIMA, ASPIROPSICRÓMETRO, ASPIROPSICRÓMETRO CON VENTILACIÓN, PLUVIÓMETRO, PLUVIÓGRAFO, TERMOHIGRÓGRAFO, VELETA, TANQUE EVAPORACIÓN, HELIÓGRAFO.",BARÓMETRO.,12.0,,,,,,,,,,,,,,
26,Los Esclavos,INS060101CV,Altiplano Central,Santa Rosa,Cuilapa,14.2528,-90.2783,737.0,"ABRIGO, TERMÓMETRO MÍNIMA, TERMÓMETRO HÚMEDO, TERMÓMETRO SECO, TERMÓMETRO MÁXIMA, ASPIROPSICRÓMETRO, ASPIROPSICRÓMETRO CON VENTILACIÓN, PLUVIÓMETRO, PLUVIÓGRAFO, TERMOHIGRÓGRAFO, VELETA, ANEMÓMETRO.",,11.0,,,,,,,,,,,,,,
27,Mazatenango,INS100101CV,Bocacosta,Suchitepéquez,Mazatenango,14.5283333,-91.5027778,352.0,"TERMÓMETRO MÍNIMA, TERMÓMETRO HÚMEDO, TERMÓMETRO SECO, TERMÓMETRO MÁXIMA, ASPIROPSICRÓMETRO, ASPIROPSICRÓMETRO CON VENTILACIÓN, PLUVIÓMETRO, VELETA.","ABRIGO, PLUVIÓGRAFO.",8.0,,,,,,,,,,,,,,
28,Montufar,INS221401CV,Pacífico,Jutiapa,Moyuta,13.80853,-90.15446,29.0,"ABRIGO, TERMÓMETRO MÍNIMA, TERMÓMETRO SECO, TERMÓMETRO MÁXIMA, ASPIROPSICRÓMETRO, PLUVIÓGRAFO, TANQUE EVAPORACIÓN, HELIÓGRAFO.","TERMÓMETRO HÚMEDO, ASPIROPSICRÓMETRO CON VENTILACIÓN, PLUVIÓMETRO, TERMOHIGRÓGRAFO, ANEMÓMETRO.",8.0,,,,,,,,,,,,,,
29,Nebaj,INS141301CV,Franja Transversal del Norte,Quiché,Nebaj,15.399247,-91.142084,1906.0,"ABRIGO, TERMÓMETRO MÍNIMA, TERMÓMETRO HÚMEDO, TERMÓMETRO SECO, TERMÓMETRO MÁXIMA, ASPIROPSICRÓMETRO, ASPIROPSICRÓMETRO CON VENTILACIÓN, PLUVIÓMETRO, PLUVIÓGRAFO, TERMOHIGRÓGRAFO.",,9.0,,,,,,,,,,,,,,
30,Panzos PHC Alta Verapaz,INS160701CV,Franja Transversal del Norte,Alta Verapaz,Panzós,15.3974,-89.64397,33.0,"ABRIGO, TERMÓMETRO MÍNIMA, TERMÓMETRO HÚMEDO, TERMÓMETRO SECO, TERMÓMETRO MÁXIMA, ASPIROPSICRÓMETRO, ASPIROPSICRÓMETRO CON VENTILACIÓN, PLUVIÓMETRO, VELETA.",TANQUE EVAPORACIÓN.,9.0,,,,,,,,,,,,,,
31,Pasabien,INS190301CV,Valles de Oriente,Zacapa,Río Hondo,15.030222,-89.67925,260.0,"ABRIGO, TERMÓMETRO MÍNIMA, TERMÓMETRO HÚMEDO, TERMÓMETRO SECO, TERMÓMETRO MÁXIMA, ASPIROPSICRÓMETRO, ASPIROPSICRÓMETRO CON VENTILACIÓN, PLUVIÓMETRO, VELETA, EVAPORÍMETRO PICHÉ.",PLUVIÓGRAFO.,10.0,,,,,,,,,,,,,,
32,Potrero Carrillo,INS210101CV,Valles de Oriente,Jalapa,Jalapa,14.74996,-89.933667,1760.0,,,0.0,,,,,,,,,,,,,,
